Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.15     0.00   509419     0.00     0.00  __gnu_cxx::__aligned_membuf<short>::__aligned_membuf()
  0.00      0.15     0.00   509419     0.00     0.00  std::_Rb_tree_node<short>::_Rb_tree_node()
  0.00      0.15     0.00   509419     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<short> > >::destroy<short>(std::allocator<std::_Rb_tree_node<short> >&, short*)
  0.00      0.15     0.00   509419     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_destroy_node(std::_Rb_tree_node<short>*)
  0.00      0.15     0.00   509402     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<short> >::construct<short, short const&>(short*, short const&)
  0.00      0.15     0.00   509402     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<short> > >::construct<short, short const&>(std::allocator<std::_Rb_tree_node<short> >&, short*, short const&)
  0.00      0.15     0.00   509402     0.00     0.00  void std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_construct_node<short const&>(std::_Rb_tree_node<short>*, short const&)
  0.00      0.15     0.00   496978     0.00     0.00  std::_Rb_tree_const_iterator<short>::_Rb_tree_const_iterator(std::_Rb_tree_node_base const*)
  0.00      0.15     0.00   490900     0.00     0.00  std::_Vector_base<CardCombo::CardPack, std::allocator<CardCombo::CardPack> >::_M_get_Tp_allocator()
  0.00      0.15     0.00   472480     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_end()
  0.00      0.15     0.00   468876     0.00     0.00  std::_Iter_base<std::_Rb_tree_const_iterator<short>, false>::_S_base(std::_Rb_tree_const_iterator<short>)
  0.00      0.15     0.00   453642     0.00     0.00  std::_Niter_base<std::_Rb_tree_const_iterator<short> >::iterator_type std::__niter_base<std::_Rb_tree_const_iterator<short> >(std::_Rb_tree_const_iterator<short>)
  0.00      0.15     0.00   450748     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_S_right(std::_Rb_tree_node_base*)
  0.00      0.15     0.00   441916     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.15     0.00   434847     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_S_left(std::_Rb_tree_node_base const*)
  0.00      0.15     0.00   406153     0.00     0.00  bool __gnu_cxx::operator!=<short*, std::vector<short, std::allocator<short> > >(__gnu_cxx::__normal_iterator<short*, std::vector<short, std::allocator<short> > > const&, __gnu_cxx::__normal_iterator<short*, std::vector<short, std::allocator<short> > > const&)
  0.00      0.15     0.00   405601     0.00     0.00  __gnu_cxx::new_allocator<short>::~new_allocator()
  0.00      0.15     0.00   405601     0.00     0.00  std::allocator<short>::~allocator()
  0.00      0.15     0.00   398619     0.00     0.00  card2level(short)
  0.00      0.15     0.00   369421     0.00     0.00  std::less<short>::operator()(short const&, short const&) const
  0.00      0.15     0.00   344518     0.00     0.00  __gnu_cxx::__normal_iterator<short*, std::vector<short, std::allocator<short> > >::operator*() const
  0.00      0.15     0.00   343095     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_rightmost()
  0.00      0.15     0.00   331485     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<short> >::deallocate(std::_Rb_tree_node<short>*, unsigned long)
  0.00      0.15     0.00   331485     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<short> >::allocate(unsigned long, void const*)
  0.00      0.15     0.00   331485     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<short> >::max_size() const
  0.00      0.15     0.00   331485     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<short> > >::deallocate(std::allocator<std::_Rb_tree_node<short> >&, std::_Rb_tree_node<short>*, unsigned long)
  0.00      0.15     0.00   331485     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<short> > >::allocate(std::allocator<std::_Rb_tree_node<short> >&, unsigned long)
  0.00      0.15     0.00   331485     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_get_node()
  0.00      0.15     0.00   331485     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_put_node(std::_Rb_tree_node<short>*)
  0.00      0.15     0.00   331485     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_drop_node(std::_Rb_tree_node<short>*)
  0.00      0.15     0.00   331468     0.00     0.00  std::_Rb_tree_node<short>* std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_create_node<short const&>(short const&)
  0.00      0.15     0.00   321602     0.00     0.00  __gnu_cxx::new_allocator<short>::new_allocator(__gnu_cxx::new_allocator<short> const&)
  0.00      0.15     0.00   321602     0.00     0.00  std::allocator<short>::allocator(std::allocator<short> const&)
  0.00      0.15     0.00   319781     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_leftmost()
  0.00      0.15     0.00   304663     0.00     0.00  void std::_Destroy_aux<true>::__destroy<short*>(short*, short*)
  0.00      0.15     0.00   304663     0.00     0.00  std::_Vector_base<short, std::allocator<short> >::_M_deallocate(short*, unsigned long)
  0.00      0.15     0.00   304663     0.00     0.00  void std::_Destroy<short*>(short*, short*)
  0.00      0.15     0.00   304663     0.00     0.00  void std::_Destroy<short*, short>(short*, short*, std::allocator<short>&)
  0.00      0.15     0.00   285403     0.00     0.00  __gnu_cxx::__normal_iterator<short*, std::vector<short, std::allocator<short> > >::operator++()
  0.00      0.15     0.00   285346     0.00     0.00  __gnu_cxx::new_allocator<CardCombo::CardPack>::~new_allocator()
  0.00      0.15     0.00   285346     0.00     0.00  std::allocator<CardCombo::CardPack>::~allocator()
  0.00      0.15     0.00   284411     0.00     0.00  std::vector<CardCombo::CardPack, std::allocator<CardCombo::CardPack> >::operator[](unsigned long) const
  0.00      0.15     0.00   274652     0.00     0.00  std::_Vector_base<short, std::allocator<short> >::_Vector_impl::~_Vector_impl()
  0.00      0.15     0.00   274652     0.00     0.00  std::_Vector_base<short, std::allocator<short> >::~_Vector_base()
  0.00      0.15     0.00   274652     0.00     0.00  std::vector<short, std::allocator<short> >::~vector()
  0.00      0.15     0.00   272953     0.00     0.00  std::_Rb_tree_node<short>* std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Alloc_node::operator()<short const&>(short const&) const
  0.00      0.15     0.00   267208     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.15     0.00   251632     0.00     0.00  std::remove_reference<std::allocator<short>&>::type&& std::move<std::allocator<short>&>(std::allocator<short>&)
  0.00      0.15     0.00   250533     0.00     0.00  std::remove_reference<std::_Rb_tree_node_base*&>::type&& std::move<std::_Rb_tree_node_base*&>(std::_Rb_tree_node_base*&)
  0.00      0.15     0.00   250487     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::begin() const
  0.00      0.15     0.00   248294     0.00     0.00  __gnu_cxx::new_allocator<CardCombo::CardPack>::new_allocator(__gnu_cxx::new_allocator<CardCombo::CardPack> const&)
  0.00      0.15     0.00   248294     0.00     0.00  std::allocator<CardCombo::CardPack>::allocator(std::allocator<CardCombo::CardPack> const&)
  0.00      0.15     0.00   246491     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::end() const
  0.00      0.15     0.00   238226     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_S_key(std::_Rb_tree_node<short> const*)
  0.00      0.15     0.00   238226     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_S_value(std::_Rb_tree_node<short> const*)
  0.00      0.15     0.00   237510     0.00     0.00  void std::_Destroy_aux<true>::__destroy<CardCombo::CardPack*>(CardCombo::CardPack*, CardCombo::CardPack*)
  0.00      0.15     0.00   237510     0.00     0.00  std::_Vector_base<CardCombo::CardPack, std::allocator<CardCombo::CardPack> >::_M_deallocate(CardCombo::CardPack*, unsigned long)
  0.00      0.15     0.00   237510     0.00     0.00  void std::_Destroy<CardCombo::CardPack*>(CardCombo::CardPack*, CardCombo::CardPack*)
  0.00      0.15     0.00   237510     0.00     0.00  void std::_Destroy<CardCombo::CardPack*, CardCombo::CardPack>(CardCombo::CardPack*, CardCombo::CardPack*, std::allocator<CardCombo::CardPack>&)
  0.00      0.15     0.00   236449     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Reuse_or_alloc_node::_M_extract()
  0.00      0.15     0.00   236449     0.00     0.00  std::_Rb_tree_node<short>* std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Reuse_or_alloc_node::operator()<short const&>(short const&)
  0.00      0.15     0.00   235610     0.00     0.00  std::_Vector_base<short, std::allocator<short> >::_Vector_impl::_M_swap_data(std::_Vector_base<short, std::allocator<short> >::_Vector_impl&)
  0.00      0.15     0.00   229735     0.00     0.00  std::remove_reference<std::allocator<CardCombo::CardPack>&>::type&& std::move<std::allocator<CardCombo::CardPack>&>(std::allocator<CardCombo::CardPack>&)
  0.00      0.15     0.00   211481     0.00     0.00  std::vector<CardCombo::CardPack, std::allocator<CardCombo::CardPack> >::size() const
  0.00      0.15     0.00   210300     0.00     0.00  __gnu_cxx::__normal_iterator<short const*, std::vector<short, std::allocator<short> > >::base() const
  0.00      0.15     0.00   205808     0.00     0.00  std::_Vector_base<CardCombo::CardPack, std::allocator<CardCombo::CardPack> >::_Vector_impl::~_Vector_impl()
  0.00      0.15     0.00   205808     0.00     0.00  std::_Vector_base<CardCombo::CardPack, std::allocator<CardCombo::CardPack> >::~_Vector_base()
  0.00      0.15     0.00   205808     0.00     0.00  std::vector<CardCombo::CardPack, std::allocator<CardCombo::CardPack> >::~vector()
  0.00      0.15     0.00   204589     0.00     0.00  std::_Rb_tree_iterator<short>::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      0.15     0.00   202764     0.00     0.00  __gnu_cxx::__normal_iterator<short*, std::vector<short, std::allocator<short> > >::__normal_iterator(short* const&)
  0.00      0.15     0.00   198398     0.00     0.00  std::_Rb_tree_node<short>* std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_clone_node<std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Alloc_node>(std::_Rb_tree_node<short> const*, std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Alloc_node&)
  0.00      0.15     0.00   197446     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_S_right(std::_Rb_tree_node_base const*)
  0.00      0.15     0.00   196807     0.00     0.00  std::remove_reference<short&>::type&& std::move<short&>(short&)
  0.00      0.15     0.00   191816     0.00     0.00  std::_Vector_base<CardCombo::CardPack, std::allocator<CardCombo::CardPack> >::_Vector_impl::_M_swap_data(std::_Vector_base<CardCombo::CardPack, std::allocator<CardCombo::CardPack> >::_Vector_impl&)
  0.00      0.15     0.00   187433     0.00     0.00  std::vector<short, std::allocator<short> >::size() const
  0.00      0.15     0.00   183013     0.00     0.00  __gnu_cxx::__ops::__iter_less_iter()
  0.00      0.15     0.00   178500     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_begin()
  0.00      0.15     0.00   164275     0.00     0.00  std::__array_traits<std::set<short, std::less<short>, std::allocator<short> >, 3ul>::_S_ptr(std::set<short, std::less<short>, std::allocator<short> > const (&) [3])
  0.00      0.15     0.00   162414     0.00     0.00  std::remove_reference<std::vector<short, std::allocator<short> >&>::type&& std::move<std::vector<short, std::allocator<short> >&>(std::vector<short, std::allocator<short> >&)
  0.00      0.15     0.00   155674     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<double, CardCombo>*, std::vector<std::pair<double, CardCombo>, std::allocator<std::pair<double, CardCombo> > > >::base() const
  0.00      0.15     0.00   154508     0.00     0.00  CardCombo::~CardCombo()
  0.00      0.15     0.00   149144     0.00     0.00  std::_Rb_tree_node<short>*& std::forward<std::_Rb_tree_node<short>*&>(std::remove_reference<std::_Rb_tree_node<short>*&>::type&)
